1*2=2|2*2=4|3*2=6|4*2=8|5*2=10|6*2=12|7*2=14|8*2=16|9*2=18|10*2=20|
1*3=3|2*3=6|3*3=9|4*3=12|5*3=15|6*3=18|7*3=21|8*3=24|9*3=27|10*3=30|
1*4=4|2*4=8|3*4=12|4*4=16|5*4=20|6*4=24|7*4=28|8*4=32|9*4=36|10*4=40|
1*5=5|2*5=10|3*5=15|4*5=20|5*5=25|6*5=30|7*5=35|8*5=40|9*5=45|10*5=50|
1*6=6|2*6=12|3*6=18|4*6=24|5*6=30|6*6=36|7*6=42|8*6=48|9*6=54|10*6=60|
1*7=7|2*7=14|3*7=21|4*7=28|5*7=35|6*7=42|7*7=49|8*7=56|9*7=63|10*7=70|
1*8=8|2*8=16|3*8=24|4*8=32|5*8=40|6*8=48|7*8=56|8*8=64|9*8=72|10*8=80|
1*9=9|2*9=18|3*9=27|4*9=36|5*9=45|6*9=54|7*9=63|8*9=72|9*9=81|10*9=90|
1*10=10|2*10=20|3*10=30|4*10=40|5*10=50|6*10=60|7*10=70|8*10=80|9*10=90|10*10=100|
1*11=11|2*11=22|3*11=33|4*11=44|5*11=55|6*11=66|7*11=77|8*11=88|9*11=99|10*11=110|
1*12=12|2*12=24|3*12=36|4*12=48|5*12=60|6*12=72|7*12=84|8*12=96|9*12=108|10*12=120|
1*13=13|2*13=26|3*13=39|4*13=52|5*13=65|6*13=78|7*13=91|8*13=104|9*13=117|10*13=130|
1*14=14|2*14=28|3*14=42|4*14=56|5*14=70|6*14=84|7*14=98|8*14=112|9*14=126|10*14=140|
1*15=15|2*15=30|3*15=45|4*15=60|5*15=75|6*15=90|7*15=105|8*15=120|9*15=135|10*15=150|
1*16=16|2*16=32|3*16=48|4*16=64|5*16=80|6*16=96|7*16=112|8*16=128|9*16=144|10*16=160|
1*17=17|2*17=34|3*17=51|4*17=68|5*17=85|6*17=102|7*17=119|8*17=136|9*17=153|10*17=170|
1*18=18|2*18=36|3*18=54|4*18=72|5*18=90|6*18=108|7*18=126|8*18=144|9*18=162|10*18=180|
1*19=19|2*19=38|3*19=57|4*19=76|5*19=95|6*19=114|7*19=133|8*19=152|9*19=171|10*19=190|
1*20=20|2*20=40|3*20=60|4*20=80|5*20=100|6*20=120|7*20=140|8*20=160|9*20=180|10*20=200|
1*21=21|2*21=42|3*21=63|4*21=84|5*21=105|6*21=126|7*21=147|8*21=168|9*21=189|10*21=210|
1*22=22|2*22=44|3*22=66|4*22=88|5*22=110|6*22=132|7*22=154|8*22=176|9*22=198|10*22=220|
1*23=23|2*23=46|3*23=69|4*23=92|5*23=115|6*23=138|7*23=161|8*23=184|9*23=207|10*23=230|
1*24=24|2*24=48|3*24=72|4*24=96|5*24=120|6*24=144|7*24=168|8*24=192|9*24=216|10*24=240|
1*25=25|2*25=50|3*25=75|4*25=100|5*25=125|6*25=150|7*25=175|8*25=200|9*25=225|10*25=250|
1*26=26|2*26=52|3*26=78|4*26=104|5*26=130|6*26=156|7*26=182|8*26=208|9*26=234|10*26=260|
1*27=27|2*27=54|3*27=81|4*27=108|5*27=135|6*27=162|7*27=189|8*27=216|9*27=243|10*27=270|
1*28=28|2*28=56|3*28=84|4*28=112|5*28=140|6*28=168|7*28=196|8*28=224|9*28=252|10*28=280|
1*29=29|2*29=58|3*29=87|4*29=116|5*29=145|6*29=174|7*29=203|8*29=232|9*29=261|10*29=290|
1*30=30|2*30=60|3*30=90|4*30=120|5*30=150|6*30=180|7*30=210|8*30=240|9*30=270|10*30=300|
